City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.48,clear sky,-9.8,-139.0333,Villa Enata
3,Champerico,GT,84.31,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
5,Soe,ID,85.05,scattered clouds,-9.8607,124.284,Dena Hotel
6,Atar,MR,85.42,overcast clouds,20.5169,-13.0499,Oumou Elghoura
8,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
10,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Kerema,PG,82.85,scattered clouds,-7.9631,145.7785,Frena Lodge
27,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
31,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
34,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
36,Faanui,PF,81.75,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Lingyuan,CN,80.56,scattered clouds,41.24,119.4011,Guomao Hotel
45,Rikitea,PF,76.89,clear sky,-23.1203,-134.9692,People ThankYou
48,Sao Filipe,CV,75.9,overcast clouds,14.8961,-24.4956,Hotel Xaguate
49,Singkang,MY,89.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
68,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
74,Matamoros,MX,82.06,overcast clouds,25.5333,-103.25,Quinta Belem
75,Kavieng,PG,84.24,clear sky,-2.5744,150.7967,Nusa Island Retreat
84,Luwuk,ID,85.55,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
86,Seoul,KR,78.19,clear sky,37.5683,126.9778,롯데호텔 서울
93,Catuday,PH,82.13,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
94,Butaritari,KI,82.89,broken clouds,3.0707,172.7902,Isles Sunset Lodge
97,San Patricio,US,78.85,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
101,Isangel,VU,77.88,few clouds,-19.55,169.2667,Tanna Lodge
104,Hilo,US,77.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
108,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
109,Samarai,PG,82.92,clear sky,-10.6167,150.6667,Nuli Sapi
113,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
126,Umm Lajj,SA,83.28,clear sky,25.0213,37.2685,Moon light Furnished Units
129,Hithadhoo,MV,84.36,overcast clouds,-0.6,73.0833,Scoop Guest House
132,Victoria,HK,81.97,scattered clouds,22.2855,114.1577,Mini Central
135,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
142,Melnikovo,RU,76.24,broken clouds,56.5558,84.085,Шегарка
143,Hami,CN,82.71,overcast clouds,42.8,93.45,Laoyutang Resort
154,Cabo San Lucas,MX,78.1,broken clouds,22.8909,-109.9124,Vista Roof Restaurant
155,Coruripe,BR,75.97,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
162,Saint-Pierre,RE,75.9,light rain,-21.3393,55.4781,Alize Plage
167,Fare,PF,81.68,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
168,Nattam,IN,88.25,overcast clouds,10.2333,78.2333,CR Relax Home & Alagar Waters
174,Bucerias,MX,78.78,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
181,Abeche,TD,86.2,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
187,Mangrol,IN,87.51,clear sky,21.1167,70.1167,Hotel The Royal Honours
189,Honiara,SB,82.51,broken clouds,-9.4333,159.95,Heritage Park Hotel
196,San Policarpo,PH,84.02,overcast clouds,12.1791,125.5072,Agapita M. Nicart
198,Labuan,MY,89.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
202,Lorengau,PG,85.15,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Ciudad Bolivar,VE,78.08,overcast clouds,8.1222,-63.5497,Hotel Edi
207,Murgab,TM,78.67,clear sky,37.4966,61.9714,Wepa Nurlyýew
211,Carutapera,BR,77.11,overcast clouds,-1.195,-46.02,Lidera
212,Yarada,IN,89.92,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
216,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
219,Buala,SB,83.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
220,Bengkulu,ID,84.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
226,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
230,Gatton,AU,81.54,scattered clouds,-27.55,152.2833,Room Motels Gatton
231,Jalu,LY,76.08,clear sky,29.0331,21.5482,صاحبة الفخامة
237,Balkanabat,TM,76.89,clear sky,39.5108,54.3671,Nebitchi Hotel
240,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
243,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
245,Touros,BR,76.95,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
246,Mayumba,GA,76.66,light rain,-3.432,10.6554,LIKWALE LODGE
254,Dangriga,BZ,79.43,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
256,Sibolga,ID,86.27,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
257,Anloga,GH,81.25,overcast clouds,5.7947,0.8973,Pin Drop Hotel
264,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
270,Jibuti,DJ,85.96,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
274,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
281,Dewas,IN,89.78,broken clouds,22.9667,76.0667,OYO 71164 Hotel Suryaansh
282,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
284,Seydi,TM,87.48,broken clouds,39.4816,62.9137,Seydi oteli
285,Maningrida,AU,86.34,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
286,Trincomalee,LK,89.13,broken clouds,8.5711,81.2335,Welcombe Hotel
291,Kouroussa,GN,75.85,scattered clouds,10.65,-9.8833,Hotel Tando Plus
293,Acarau,BR,76.96,overcast clouds,-2.8856,-40.12,castelo pizzaria
300,Russell,US,76.6,scattered clouds,32.3502,-85.1999,Macs
301,Progreso,MX,75.29,clear sky,21.2833,-89.6667,Playa Linda Hotel
303,Porlamar,VE,78.89,broken clouds,10.958,-63.8491,Hotel Bella Vista
304,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
310,Juegang,CN,84.94,clear sky,32.3174,121.1855,Rudong Y Hotel
313,Aleysk,RU,79.39,few clouds,52.4926,82.7822,"Hotel ""Alieika"""
328,Antalaha,MG,76.41,few clouds,-14.9003,50.2788,Hotel Vitasoa
329,Innisfail,AU,79.29,clear sky,-17.5333,146.0333,Moondarra Motel
331,Buchanan,LR,78.89,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
332,Semnan,IR,76.84,dust,35.5729,53.3971,Semnan Tourist Hotel
334,Sola,VU,81.23,scattered clouds,-13.8833,167.55,Leumerus Bungalows
337,Kavaratti,IN,80.47,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
339,Dwarka,IN,85.86,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
343,Saint George,US,82.26,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
349,Bambanglipuro,ID,86.02,scattered clouds,-7.95,110.2833,Puri Brata
358,Yeppoon,AU,83.98,clear sky,-23.1333,150.7333,Villa Mar Colina
361,Black River,JM,77.99,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
363,Bandarbeyla,SO,87.51,scattered clouds,9.4942,50.8122,JABIR HOTEL
368,Benemerito De Las Americas,MX,75.51,overcast clouds,16.5167,-90.6439,Hotel Fontera Sur
370,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
373,Houma,US,75.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
377,Itarema,BR,76.69,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
378,Licheng,CN,79.41,broken clouds,23.2955,113.8284,Xincheng Tourism Industry
