City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Geraldton,AU,-28.7667,114.6,73.81,56,40,8.05,scattered clouds
1,Atuona,PF,-9.8,-139.0333,78.48,71,1,16.96,clear sky
2,Busselton,AU,-33.65,115.3333,67.71,52,73,10.8,broken clouds
3,Champerico,GT,14.3,-91.9167,84.31,72,97,3.4,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,40.66,87,100,9.22,light rain
5,Soe,ID,-9.8607,124.284,85.05,33,44,7.9,scattered clouds
6,Atar,MR,20.5169,-13.0499,85.42,13,100,12.21,overcast clouds
7,Coihaique,CL,-45.5752,-72.0662,30.81,100,0,2.3,clear sky
8,Georgetown,MY,5.4112,100.3354,89.53,70,20,5.01,few clouds
9,Dudinka,RU,69.4058,86.1778,43.63,100,100,9.33,overcast clouds
10,Mahebourg,MU,-20.4081,57.7,77.25,69,40,10.36,scattered clouds
11,Kysyl-Syr,RU,63.8986,122.7617,44.91,51,99,3.0,overcast clouds
12,Port Angeles,US,48.1181,-123.4307,52.2,77,40,17.27,scattered clouds
13,Castro,BR,-24.7911,-50.0119,38.66,85,0,7.09,clear sky
14,Hobart,AU,-42.8794,147.3294,57.25,58,40,21.85,scattered clouds
15,Houlton,US,46.1262,-67.8403,56.71,81,100,4.61,overcast clouds
16,Ko Samui,TH,9.5357,99.9357,91.31,62,20,8.05,few clouds
17,Albany,US,42.6001,-73.9662,57.16,79,68,1.99,broken clouds
18,Kaeo,NZ,-35.1,173.7833,69.33,76,97,11.5,overcast clouds
19,Naze,JP,28.3667,129.4833,63.52,87,100,9.35,light rain
20,East London,ZA,-33.0153,27.9116,70.74,46,0,10.36,clear sky
21,Vaini,TO,-21.2,-175.2,77.16,69,20,6.91,few clouds
22,Kerema,PG,-7.9631,145.7785,82.85,76,32,7.29,scattered clouds
23,Grand-Santi,GF,4.25,-54.3833,73.54,100,100,1.54,overcast clouds
24,Bluff,NZ,-46.6,168.3333,54.81,83,79,11.27,broken clouds
25,Kodiak,US,57.79,-152.4072,56.71,33,0,9.22,clear sky
26,Qaqortoq,GL,60.7167,-46.0333,37.6,76,99,3.49,overcast clouds
27,Bambous Virieux,MU,-20.3428,57.7575,77.22,69,40,10.36,scattered clouds
28,Jalalabad,AF,34.4265,70.4515,93.78,17,1,0.87,clear sky
29,Port Elizabeth,ZA,-33.918,25.5701,67.32,35,0,4.61,clear sky
30,Teya,RU,60.3778,92.6267,64.29,58,95,9.35,overcast clouds
31,Salalah,OM,17.0151,54.0924,84.29,70,20,1.14,few clouds
32,Thompson,CA,55.7435,-97.8558,33.96,80,0,2.3,clear sky
33,Jamestown,US,42.097,-79.2353,49.64,90,75,6.91,broken clouds
34,Kahului,US,20.8947,-156.47,82.42,66,40,11.5,scattered clouds
35,Bredasdorp,ZA,-34.5322,20.0403,60.53,38,83,3.83,broken clouds
36,Faanui,PF,-16.4833,-151.75,81.75,71,54,13.06,broken clouds
37,Mataura,NZ,-46.1927,168.8643,54.48,94,99,1.74,light rain
38,Lebu,CL,-37.6167,-73.65,51.04,70,47,4.21,scattered clouds
39,Castlemaine,AU,-37.0667,144.2167,58.28,58,97,11.41,overcast clouds
40,Lingyuan,CN,41.24,119.4011,80.56,14,34,14.05,scattered clouds
41,Cape Town,ZA,-33.9258,18.4232,64.81,65,0,10.36,clear sky
42,Nyurba,RU,63.2842,118.3319,39.88,94,100,5.17,light rain
